 (-0.36480513+0.34737536j)  (-0.22189027+0.015186217j)  (0.048075806-0.087672725j)  (-0.6852505-0.074121825j)  (-0.7600354-0.3519807j)  (0.11071311+0.4613242j)  (-0.43573958-0.39728275j)  (-0.9082351+0.09923867j)  (-1.0043558+0.21046233j)  (0.018921275+0.54653305j)  (-1.0264698+1.0955487j)  (-0.25854534+1.2031873j)  (-0.2759835+0.4189624j)  (-0.9642927-1.0406206j)  (0.054625113+0.55193776j)  (0.96874076+0.8800387j)  (0.23265302+0.33261082j)  (-1.5403792+0.88677144j)  (0.24913387+0.0042558513j)  (-0.056709662-0.76257807j)  (0.27582967+0.7421972j)  (1.1065419+1.1272197j)  (1.0114993+0.3726914j)  (-0.32302275-0.7481681j)  (0.80972785-0.050617732j)  (0.4140375-0.05450436j)  (0.26474604-1.1497136j)  (0.0076253014-0.04131948j)  (-1.5417154-0.32233378j)  (-0.34007236-0.7136252j)  (-0.09985943+0.08112184j)  (-0.37288985+0.22076899j)  (1.5666311-0.33223286j)  (0.38495034+0.04612866j)  (0.20031264+0.11884003j)  (0.70193744+0.19681218j)  (0.17494814-0.4888113j)  (-0.32635236+0.55748403j)  (-0.71800107+0.38240612j)  (-0.1487077+1.3596262j)  (0.7092293+1.0965494j)  (0.6339869-0.2816245j)  (-0.40277484+1.2133945j)  (0.6379917-0.40571904j)  (0.11442768+0.31391257j)  (-0.60163385+0.85319746j)  (-0.9251717+0.4706476j)  (0.16094656-0.40231287j)  (0.09114871+0.65918607j)  (0.23842013+0.33497718j)  (-0.02298773+1.0475403j)  (-0.8553076-0.62497324j)  (-0.07803579-0.01859911j)  (0.86597687+0.21463549j)  (1.0942595+1.8111271j)  (-0.23550424+0.68782574j)  (2.040393+0.85162354j)  (1.6768436+0.35605648j)  (-0.41482997-1.054803j)  (-0.60271966+1.0642788j)  (0.06015509+0.3153566j)  (1.2052535-1.8609324j)  (-0.41762903+0.25093567j)  (0.77247155+0.1562858j)
 (-1.162901-0.31487268j)  (0.13804108+0.10628369j)  (-0.08205516-0.9642945j)  (1.2105612-0.33104193j)  (-0.747444+0.5897286j)  (-0.9550205-0.5698817j)  (0.43170843+0.90283144j)  (0.54017675-1.3371121j)  (0.33927205-0.30346146j)  (-0.924013+0.38913006j)  (-0.69422394+0.021044279j)  (0.34850943+0.78723365j)  (-0.56568974+0.16284321j)  (-0.9479508-0.6103615j)  (-0.4804539-0.028867846j)  (0.5881166-1.3784808j)  (0.16933699-1.0943856j)  (-0.12161382-0.92460155j)  (1.0917104-0.19902536j)  (-0.7646357-1.9748695j)  (-0.88315684-0.07576492j)  (0.26957008+0.42389423j)  (0.3598295+1.0778672j)  (-0.014080278+0.07099874j)  (0.58670247+0.094412856j)  (-1.3003472-0.15634194j)  (0.8656232-0.09140739j)  (0.81215465-0.8395253j)  (-0.088629164+1.1651654j)  (-0.50358015+0.5137259j)  (-0.005451856+0.03681739j)  (-0.45178849-0.3880851j)  (-1.1473513+1.697991j)  (0.2672589+0.61444455j)  (0.19339561-1.4732057j)  (-0.14465672+0.65093917j)  (1.1046869-0.1789099j)  (0.5665496+0.18047392j)  (-0.6848201-0.93357706j)  (0.6381541+0.3095447j)  (-0.22143318-1.0711396j)  (0.09437775+0.2963586j)  (-0.4193182+0.0119632585j)  (0.44171324+0.5541512j)  (-0.90581363+0.49370125j)  (-2.017919+1.1802416j)  (0.32389447-0.74188566j)  (0.6172075-0.7764156j)  (0.3796229-1.513635j)  (0.8463464-0.16028978j)  (-0.031935662+0.83798504j)  (1.4282459+0.071021736j)  (0.34295896-0.6964941j)  (0.6624973-0.6701848j)  (-0.0681099+0.020528993j)  (-0.3195636+0.21583518j)  (0.62827617+0.48338056j)  (-0.8039261-2.161731j)  (-0.37754682+1.897882j)  (-0.07330298-1.058318j)  (-0.11313283-0.9164297j)  (0.45823723-0.5605017j)  (-0.60770756+1.0413431j)  (0.569085-0.39600992j)
 (-0.23949245+0.4835323j)  (0.3016785+1.586482j)  (0.15304579+0.7534721j)  (1.7359391+0.4049623j)  (0.57561165-0.2696772j)  (-0.9226114+0.22453524j)  (0.14376386-0.19771205j)  (-0.9882016-0.24881282j)  (1.3041117-0.74230886j)  (0.4830061-1.5152873j)  (0.99231374+0.048072625j)  (1.130305+0.50280696j)  (0.58011264-1.3305639j)  (0.1965183+0.46517235j)  (0.041181706-0.4433679j)  (0.8293368-0.2532055j)  (0.6519243+1.1170095j)  (-0.48592037+0.34500667j)  (-0.07369041-1.0908868j)  (0.67153126-0.56844j)  (0.17915945+0.9154128j)  (-0.3787971+0.8551646j)  (-0.4966844-0.73512137j)  (-0.9342346-0.46132693j)  (-0.7109648+1.7084178j)  (0.35315913-0.2775168j)  (-1.117975+0.2756415j)  (-0.8627261+0.79565096j)  (-0.40529904-0.6996132j)  (0.04820139+0.06288162j)  (-0.3683833+0.78088313j)  (0.18867469-0.11795537j)  (-0.15324108-0.011905411j)  (-0.32015836-0.30624503j)  (-0.8834105+0.82259303j)  (1.035184-0.64976025j)  (0.38711756+0.19943625j)  (0.19981545+0.22291565j)  (-0.88641244-7.892396e-05j)  (-0.28756398+1.0773413j)  (0.2962992+0.30763677j)  (-0.6776979+0.25310057j)  (-0.8333169-0.35773823j)  (-0.252261-0.7192415j)  (1.7525109-0.040781602j)  (-0.12333396+0.45734203j)  (0.3266692-0.696815j)  (0.05110189+1.0820436j)  (0.3218916-1.6322317j)  (-0.3194225-0.57653064j)  (-0.084365465-0.5049979j)  (-0.33265665+0.026318144j)  (-0.15024628-0.035720006j)  (-0.89109874+0.28494823j)  (-1.2276298+0.9368708j)  (0.7497653-0.5647178j)  (0.015306997-0.56944823j)  (1.3208765-0.06963764j)  (-0.71338356+0.08469629j)  (0.035239052+0.13515803j)  (-0.6578093-0.7629344j)  (-0.073358245-0.387809j)  (0.041548762-0.55632675j)  (0.2175683+0.5843338j)
 (0.5174356-0.46674126j)  (-0.17803466-0.059977308j)  (1.0626887+0.14097853j)  (1.2009718-0.013599482j)  (0.98788923-0.19733761j)  (-1.2485307+0.88713896j)  (1.0550632+0.7121087j)  (1.171567+0.14455725j)  (-0.27961904-0.87165385j)  (-1.4576285+0.93268085j)  (0.91870904+0.19416524j)  (-0.70227504-0.60670346j)  (0.001964671+0.17858925j)  (-0.11408157+0.22442465j)  (0.1363838+0.51193553j)  (-0.046225358-0.83979213j)  (0.026321165+1.4027573j)  (-0.48394027-0.97400606j)  (-0.1956334+0.06657991j)  (-0.028732937-0.13393323j)  (-0.5454631-0.7858807j)  (0.8140396+0.4137081j)  (1.3247752+0.468216j)  (-0.35996467+0.34702495j)  (0.6655342-0.16836002j)  (-0.11438258+0.056623656j)  (-1.1397587+0.33102876j)  (-0.4181772+0.105281256j)  (0.122413546-0.70259005j)  (1.7331474+0.040645458j)  (-1.0242224-0.3828292j)  (-0.22413112-0.24619283j)  (-0.03879512-0.44801918j)  (-0.2471906+1.2944341j)  (1.4666115-0.6677428j)  (-0.8322723+0.16637778j)  (1.0843349+0.1682219j)  (0.45040077+0.7767546j)  (-0.7814281-0.32109645j)  (0.13421464-0.8458114j)  (0.55603534-0.61045283j)  (0.7357667-1.0709873j)  (0.16906287-1.0805963j)  (0.16786616-0.2877557j)  (0.45037684-0.20107067j)  (0.039772585+0.30816174j)  (-0.25963908-0.033535402j)  (-0.10214594+0.088866755j)  (-0.7064589-0.2394209j)  (-0.13393775-0.81927377j)  (-0.0038263546+0.50128716j)  (-1.0983799-0.6034943j)  (-0.017988648+0.58218724j)  (-0.43915638+0.21610282j)  (-0.32563275-1.1673515j)  (0.24492171-0.10303479j)  (0.2271475+1.1916857j)  (-1.9826072-0.008569828j)  (0.15867773+1.4854412j)  (-0.06985432-0.07814305j)  (-0.32266593+0.09421166j)  (-0.121581905-0.46890542j)  (0.18999384+0.21772553j)  (0.7261184+0.46130443j)
 (0.6178408+0.031264428j)  (1.9546673-0.14943622j)  (0.5287467-0.6770419j)  (-0.6318097+0.13223584j)  (-1.3348609-1.0713345j)  (0.19305159-1.1910299j)  (0.001793508+0.04547883j)  (0.29608783+1.6161406j)  (-0.35666454+0.3532399j)  (-0.7311496-0.63174075j)  (-0.111539125-0.108882695j)  (0.21925355+0.45008063j)  (0.24475433+1.2423855j)  (0.51043177-0.6032222j)  (-0.38146445-0.26622963j)  (1.000218-0.27466112j)  (0.22016403-0.8261282j)  (1.8778852+1.7484822j)  (1.1576571+0.7048438j)  (0.46172297-0.9770423j)  (-0.2055864+0.19708836j)  (0.7117255-0.0583796j)  (-0.24612364-0.11662396j)  (-0.49400496-0.6357973j)  (-0.004387718+0.14278685j)  (-0.76554525+0.7475299j)  (-0.11765693+1.2995187j)  (0.7155863+1.0689412j)  (0.25485826-0.020749638j)  (0.21419993-0.89140254j)  (1.4419061-0.10351195j)  (-0.06705188-0.5446505j)  (-0.6155881+0.6613669j)  (-0.41445836-0.4356809j)  (-0.6764443+1.1560547j)  (-0.037756957+0.98909134j)  (-0.42181957+0.3117458j)  (0.5846395-0.943889j)  (1.1644542+0.8620387j)  (-1.2794422-1.3845553j)  (-0.050507285+0.28188133j)  (-0.13856694+1.0927308j)  (1.063487-0.12845519j)  (1.2894529+0.26905158j)  (-0.77873355+0.12708592j)  (0.04267234-0.7059144j)  (0.29222196-0.44117323j)  (0.12511823-0.6099546j)  (1.3525119-0.82213444j)  (-1.9307994-1.0133564j)  (1.166618+1.0883977j)  (0.9856202+0.5705164j)  (0.37153685+0.56019163j)  (0.5808008+1.98291j)  (0.12628311-1.0914448j)  (-0.23339687+0.22161238j)  (0.307106-0.5592203j)  (0.1463361+0.5503583j)  (0.23841998-1.5889049j)  (-1.4128944-0.43402556j)  (-1.0479044+1.2741373j)  (1.3724593+0.3930073j)  (-0.5449484+0.030022435j)  (-0.5193797+0.46589378j)
 (0.72284794+0.6502383j)  (0.094735876-0.50425255j)  (-0.9704172-0.8399712j)  (0.7330483+0.7374026j)  (-0.35208023-0.17610809j)  (-0.39285755-1.0732741j)  (-0.34559423-0.89520603j)  (-0.5081291+0.40451014j)  (0.5607534-0.096057236j)  (-0.034382794-0.5358997j)  (0.3452745+0.36118132j)  (-0.87968856-0.6376143j)  (0.18024531+0.5374782j)  (0.41148257-1.0793704j)  (0.53957695+0.049622435j)  (-0.35026473-0.51533407j)  (-0.58215797+0.3002747j)  (-0.85075206-0.014304943j)  (-1.3471314+0.4163118j)  (-0.07664311+0.77256185j)  (-0.74633294-1.4645011j)  (-0.9701273-0.41316867j)  (0.561475+0.5624914j)  (-0.72100335+0.20137815j)  (1.1263412-0.38927987j)  (0.41802096-0.56900793j)  (0.5479003+0.7657241j)  (0.18715233+0.4754056j)  (-0.058825705-0.82981527j)  (-0.51019984-1.1230395j)  (0.17916465-0.006644454j)  (0.07596919+0.88020253j)  (-0.8245954-0.330767j)  (-0.039105654+0.59002495j)  (0.26983964+0.9160363j)  (-0.6578762-0.22277421j)  (0.20027183-0.40144977j)  (0.56915957+0.68248135j)  (0.9520973-0.77382314j)  (0.31992915-0.34203982j)  (-0.5571145+0.43428382j)  (-0.086937085-0.21642815j)  (-0.40524206+0.2534672j)  (-0.13915682+0.14628984j)  (0.35971156+0.9918943j)  (0.45830688+0.46991944j)  (-0.40987897+0.115417734j)  (-0.07577734-0.8239203j)  (0.123765156-0.27843237j)  (0.3483969-0.24329428j)  (0.56324446-0.60863954j)  (0.105286576-0.13927534j)  (0.5904105-0.2127665j)  (-0.5283316+0.1729625j)  (-0.76850384-0.34915063j)  (-1.2863582+0.496563j)  (-0.55646473+0.4747258j)  (-0.17639081-1.0464113j)  (-0.864359+0.91019565j)  (0.67249626+0.587071j)  (-0.52520204+0.810653j)  (-1.1502818+0.119429395j)  (-1.1133192+0.44850016j)  (0.23097156-0.7571484j)
 (1.1697747+0.28346816j)  (0.59678656-0.91196185j)  (0.5111407-0.6639935j)  (0.049249973+0.18153924j)  (-0.49545023+0.55635315j)  (0.8665253+1.6618676j)  (-0.74194217+0.18917973j)  (-0.10470769-0.8331556j)  (-0.30136788-0.19960703j)  (-1.2260323+0.569458j)  (0.36546922-0.9723011j)  (0.3312046+0.056496892j)  (0.3282201-1.5241172j)  (-1.1804124+0.7370946j)  (0.21991959+0.89170253j)  (0.25825697+0.10822322j)  (0.51623595-0.63004756j)  (1.0673275-0.9183628j)  (-0.5710436-0.40681055j)  (-0.14804453+1.9292083j)  (-0.62011236-0.030684507j)  (0.09090003+0.019458195j)  (-0.4433749-1.1822234j)  (-0.002801527+1.1176361j)  (-0.05083491+0.8915917j)  (-0.56659615-0.5682442j)  (0.65332395-0.4104528j)  (-0.16048716+0.1225257j)  (-0.13808163-0.0005272004j)  (-0.19806996+0.394071j)  (0.038694277+1.0655426j)  (0.67348224+1.7863114j)  (-0.2745357-0.03593194j)  (0.8974053+0.8579914j)  (-0.16109462-0.24181469j)  (-0.6409745-0.4867083j)  (-0.36457437-1.1023409j)  (1.1815485+1.0541549j)  (1.1839644-1.2831868j)  (1.6946399-1.2741249j)  (-1.0773871-0.39879513j)  (1.3324791+0.66322273j)  (-1.2838124+0.296812j)  (-0.1176049-1.2641542j)  (0.6183046+0.04800848j)  (-0.44742364+0.9074864j)  (0.044394687+0.01702484j)  (1.2267312-0.4037225j)  (0.7285461-0.3575261j)  (0.6359451-0.18592249j)  (-0.5208606+0.63203734j)  (-0.6835266+0.37875202j)  (0.7680406+0.10947527j)  (0.51729745-0.44887996j)  (-0.5783974-1.1420603j)  (1.1902704-0.26001427j)  (0.3445669+1.4198763j)  (0.6157687-0.9185085j)  (0.6004302+0.9788405j)  (0.82157904-0.49136218j)  (0.87520397-1.4884624j)  (-0.14622173-2.275007j)  (0.66875905+0.31927985j)  (-0.8846679-0.76786375j)
 (-0.418659+0.70509744j)  (0.5054594+0.21696603j)  (-0.6702807-0.037079275j)  (-0.30149528-0.5215222j)  (0.31965092-0.49863687j)  (-0.38694242+0.60037154j)  (0.1450218-0.4376216j)  (0.15181442-0.14927398j)  (0.6677297-0.6626474j)  (-1.120455+1.1909696j)  (-0.5404629-0.37420204j)  (0.8121529-0.18964985j)  (0.9410229+0.058870297j)  (0.19486271-0.72400707j)  (1.107041+0.800615j)  (-0.33484763-0.45528236j)  (0.38903007+0.36019784j)  (0.8258214+0.17413786j)  (0.52833724+1.4022682j)  (0.40425348-0.18790875j)  (-0.13476808-0.025177373j)  (1.0814071+0.21190552j)  (-1.1458883-0.15877847j)  (1.0891356-0.24658938j)  (-0.090852186+0.744557j)  (-0.6781342+1.1805931j)  (-0.40675792-0.5788688j)  (1.369067+0.16459194j)  (0.6731983+1.6330467j)  (-0.9041097+0.68940115j)  (0.4216935+0.9326859j)  (-0.7462923-0.2396269j)  (0.16879193-1.1430776j)  (-0.36726376-0.05171199j)  (-0.951139+0.7746647j)  (-1.7407509+0.79128665j)  (1.3018129-0.9411582j)  (0.07947551-0.74698967j)  (0.5081517-0.58669674j)  (-0.36780524-0.38122737j)  (0.28659853-0.97286314j)  (0.21702601-0.21027054j)  (0.4085266-0.37060344j)  (0.86657655+0.96035933j)  (0.10624014+0.20723504j)  (-0.15703875-0.6254387j)  (-1.4362419+0.7095775j)  (-0.86865216-0.07509435j)  (-1.1563741-0.12215786j)  (0.485374-0.14538634j)  (0.0073446515-0.75299877j)  (0.86141795-0.34562558j)  (-1.3089674+0.19093445j)  (-0.5156589+1.1369301j)  (0.77025044+0.36726305j)  (-1.2442828+1.1750997j)  (0.43380272-0.09210327j)  (0.4189521+0.83072084j)  (0.5720669-0.8164265j)  (0.7330202+0.3439198j)  (0.36338088+1.096292j)  (0.41410282-0.24651703j)  (-0.833579+0.114525j)  (-0.5599377-0.7036774j)
 (0.6800075+0.25884017j)  (0.22030075-0.6138771j)  (-0.88260263+0.299045j)  (0.32850912-0.73572564j)  (0.4273226+0.30288905j)  (0.025725337-0.7244228j)  (0.6820108-0.010726989j)  (-1.1228149-0.97229576j)  (-0.99019-0.40740672j)  (-1.0954115-0.5703739j)  (0.8628596-0.7745118j)  (0.229497-0.558664j)  (0.7365799+0.34367308j)  (-0.2138704-0.553543j)  (-1.1665437+0.45300105j)  (0.4123012+0.7237863j)  (-1.2714994-0.3796183j)  (-0.46880832-1.027839j)  (-0.56869274+0.656527j)  (-0.69301325-0.94790673j)  (-0.3050735-0.6832544j)  (0.29107866+0.37227514j)  (-1.0490435+0.60313535j)  (0.3844081-0.83682036j)  (0.053441606-0.4538555j)  (0.8016999-0.7472693j)  (1.2212704+0.034164533j)  (0.51663566+0.63169074j)  (-1.0859233-0.9189927j)  (-0.7336849+0.055204906j)  (-0.0752867-1.0599182j)  (-0.043172147-1.0343649j)  (0.38858798+0.27452675j)  (1.2670102+0.23943627j)  (0.7273387+0.5650943j)  (-0.1242554+1.1647464j)  (-0.497052+1.0077693j)  (-0.8228761-0.14203261j)  (0.00052989443-1.7645886j)  (-0.29627362-1.0805411j)  (-0.0055445917+0.784081j)  (0.005778768+0.18238203j)  (0.5138853+0.46474102j)  (-0.5450897-0.04278237j)  (0.37593046-1.5731347j)  (-0.019019859-0.24818982j)  (-0.31050715-0.63053596j)  (-1.487777-0.667904j)  (-0.22389948-0.27626827j)  (-0.70674556-0.6668816j)  (0.3581919-0.10729067j)  (1.3814837-0.3914443j)  (-0.88679236+0.8884206j)  (-0.35675925-0.7808225j)  (0.95922583+0.07343155j)  (0.26315066-0.13336974j)  (0.2590402+0.40092164j)  (0.16764212+0.714323j)  (1.1267616+1.1773409j)  (1.4252602+0.30786908j)  (-1.0358791+0.4013499j)  (-0.8434619-0.682374j)  (-0.22626947-0.34024662j)  (0.6002985+0.10468689j)
 (0.7153338+0.7002937j)  (0.09588066-0.3773299j)  (0.5472863-0.39741182j)  (0.44291437-0.44570872j)  (2.1139703+0.3290694j)  (-0.8274729+0.80869216j)  (0.8461426+1.524938j)  (1.0983174+0.5513152j)  (0.03380222+0.20106009j)  (-1.2336313+0.01138446j)  (-0.23100154+0.50577617j)  (-0.5027617-0.33245775j)  (-0.29025778-0.3519436j)  (-0.33922482+0.026550962j)  (-0.81745166-0.016443929j)  (-0.9176694+0.6618911j)  (0.6608749+0.3128955j)  (0.6150714+0.93195343j)  (-0.01835472-0.6848988j)  (-0.1800559+0.42831308j)  (-0.6748315-0.6583219j)  (0.16909549+1.8868321j)  (-2.161138+0.77145475j)  (-0.91062+0.43143114j)  (0.7156593-0.058307014j)  (0.45753896+0.7819052j)  (0.14033256+0.36271286j)  (0.0454598-0.17660572j)  (0.35388562-0.7284587j)  (0.46608406+0.38583708j)  (1.1077387-0.659131j)  (-1.1183602+1.0712248j)  (0.14742216+0.4529072j)  (0.12227925+2.138275j)  (-0.38277537+0.5160434j)  (0.8730221+0.08195468j)  (0.6304669-0.44952652j)  (-0.9268567-0.59635276j)  (-0.23612466-0.71495116j)  (-0.034441993-0.08600972j)  (0.41679227-0.752117j)  (-0.5039697+0.4453099j)  (-1.3142483-0.3261726j)  (1.7082391+1.6582457j)  (-0.25812215+0.38870487j)  (1.0497459-0.6653606j)  (0.21518123-0.5304345j)  (0.6960445-0.15802729j)  (-0.52959585+0.06184549j)  (-0.047091506-0.0267309j)  (0.08239276+1.1682187j)  (0.6355912+0.04185133j)  (0.2761214-0.30930692j)  (0.450235-0.41389713j)  (-0.41549596-0.47494972j)  (1.4861714+0.920522j)  (-0.061269578-0.74967396j)  (0.360373-0.8835182j)  (-0.5435681+1.0514785j)  (-0.32383525-0.3484093j)  (-1.1125332-0.593324j)  (0.21887888+1.2391176j)  (-0.2732298-0.03584888j)  (1.4097351+0.29165965j)
 (-0.20197867-0.100276195j)  (-0.38729063-1.2354672j)  (-0.40490666-0.6067897j)  (-0.46164176-0.5300383j)  (0.2768748+0.32783598j)  (-0.023919092+0.019657012j)  (-0.025408639-0.9230172j)  (-0.010170303+1.6779611j)  (0.09705765+1.0764349j)  (-0.13559358+0.10957913j)  (-0.81745034-0.001604111j)  (0.15647683+0.06383336j)  (-0.14904565+0.11610347j)  (0.5481421+0.2988663j)  (0.033739008+0.6156129j)  (-0.7260965-0.23417334j)  (0.16072759+0.97490716j)  (-0.75480753+0.6226574j)  (-0.85353553-0.10368589j)  (-1.054597-0.33359587j)  (0.73405826-0.41534883j)  (-1.0637888+0.5610952j)  (0.78137136-1.8034486j)  (0.8365776+0.5677095j)  (1.1242144-1.6494797j)  (0.16503814+0.9020569j)  (-0.57386404+0.17477328j)  (-0.23492569+0.57675046j)  (-1.2550547+1.7264682j)  (-1.4908442-0.008701635j)  (-0.39148352+0.533763j)  (-0.2513026+0.10889161j)  (0.2732726+0.56454015j)  (0.7862305+0.9226944j)  (-1.390171+0.5793442j)  (0.102084294-0.2042755j)  (0.0536413-0.5955332j)  (0.72773236+0.10417866j)  (-0.5493227+0.5607797j)  (-0.33410788-0.355147j)  (0.3295337+0.5983569j)  (-0.3890694-0.4073275j)  (0.076876454+0.42321748j)  (0.4096146+0.6255544j)  (0.3595842-0.5145223j)  (-0.87126994+0.507822j)  (0.5566299+0.5151983j)  (0.79895294-0.0966129j)  (0.3547241+0.20171125j)  (0.6688981-1.2789619j)  (0.17208992+0.8994531j)  (0.29549325-0.2750937j)  (0.4196901+1.1703371j)  (0.17480704-0.22943823j)  (0.000662401+0.32632837j)  (0.311505-0.15910175j)  (-0.94480217+0.16470365j)  (0.34311673-0.604261j)  (0.5791423-0.17693481j)  (-0.11501958-0.6077042j)  (-0.14575043-0.5533645j)  (-0.16844288+0.5467009j)  (-0.08498363+0.3913446j)  (-0.89239115-0.35609755j)
 (-0.8504805+0.94434154j)  (-0.05492107+1.3007798j)  (-0.7930962+0.21499823j)  (1.6049961+0.62335515j)  (0.73093474+0.28713405j)  (0.46240386-0.38626525j)  (-0.41995826-0.80765295j)  (-0.24541216+1.0154774j)  (0.062143747+0.38820305j)  (-0.41209933+1.1185303j)  (-0.16156723-0.5296914j)  (-0.5882556-0.83183104j)  (0.0017179798+0.44054464j)  (-0.313977+0.4512047j)  (0.16022372-0.103418946j)  (1.0100079-0.24952213j)  (0.20212314-0.59503496j)  (-0.42598075+1.9795482j)  (1.1706678-1.4367363j)  (-0.2362905-0.2697066j)  (0.63006085+0.40151107j)  (0.27617776-0.01758633j)  (-0.0013516481-1.2732406j)  (-0.74415123-0.4629327j)  (-0.44079357+0.5652618j)  (-0.44350854+1.232615j)  (0.17793034-0.3277956j)  (0.4714277+0.5124829j)  (0.90315056-0.03760706j)  (0.7294549+0.26984155j)  (0.057198126+0.342164j)  (-1.0370885+0.19774957j)  (-1.0515131-0.120776996j)  (-0.58892-0.5112773j)  (-1.1644248-0.7619707j)  (1.505209-0.5997317j)  (-0.62753886+0.3470771j)  (0.26790747+0.5546469j)  (0.6632583+0.47475216j)  (-1.2439152-0.37378177j)  (-0.54954785-0.5218301j)  (1.2744528+0.48232386j)  (-1.0191287+1.4623888j)  (-1.156271-2.1678057j)  (0.09738601+0.028636467j)  (0.030401021+0.7828734j)  (-0.7794814+0.60717326j)  (-1.6118263+0.18085663j)  (0.9554807+1.4584993j)  (-0.2580783+0.31343463j)  (-1.0452162-0.8307754j)  (-0.8952142+0.2687197j)  (-0.23092026+0.6296524j)  (0.46804348-0.49242157j)  (-1.7721004-0.4007477j)  (0.48035273-0.17400861j)  (-1.2029898-0.6089701j)  (0.6434127+1.0432283j)  (-0.2894778-0.21077903j)  (-0.14419985-0.24294102j)  (-0.09572481+0.34408787j)  (1.1357863+0.33663383j)  (-0.1453951-0.08519941j)  (-0.5533447-0.1557449j)
 (-0.16240154-0.62297624j)  (0.5424939+0.37093773j)  (0.69123745-1.5015174j)  (-0.32175013+0.23232737j)  (0.6743091-0.1976369j)  (1.3100113+0.5759854j)  (-0.5782666-0.016455201j)  (-1.3455578+0.41747996j)  (-0.63208425+0.6355046j)  (-0.8398043+0.42576212j)  (-0.6662538-0.11806892j)  (-0.7507915-0.43740386j)  (-0.24783647+0.67120624j)  (-0.27937925-0.6939449j)  (-0.35816112+0.43213862j)  (-0.11221306+0.5595738j)  (0.39320138-0.2342755j)  (-0.3914722-0.4752084j)  (0.65399635-0.70256954j)  (-1.2862959+0.8302564j)  (0.20691289+0.3726975j)  (-0.059009574+0.68984276j)  (0.24255806-1.6972948j)  (0.38250014-1.2872635j)  (-0.50205773-0.097813085j)  (-0.17415258-0.6671881j)  (0.5677717-0.6355751j)  (-0.6822971+1.4794884j)  (-1.0887481+0.22594216j)  (-0.43939698-0.568394j)  (-0.7256893+0.35304844j)  (0.026882652-0.35852596j)  (-1.3853964-0.05667963j)  (1.2217056-0.25041604j)  (0.6096544+1.362195j)  (0.40002036+1.3688124j)  (-0.57511437+0.2266499j)  (-0.16017361+0.044083826j)  (-0.22011994+0.036900647j)  (0.8991098+1.0728086j)  (-0.36404783+0.65119284j)  (0.46160445+0.78358907j)  (-0.19967073+1.1385568j)  (1.5177734+1.1496371j)  (-0.7305831+0.6806684j)  (-0.31008172-0.4242889j)  (-0.14824563+0.9132826j)  (-0.26720846-0.92523j)  (-0.31295615+0.2848343j)  (0.119754486-1.2756854j)  (-1.017361+0.3735138j)  (-0.3109363+0.671588j)  (-0.19847935-0.31320035j)  (-0.20703755-0.020549787j)  (-0.041050043+1.7044502j)  (-0.44906595+1.190034j)  (0.06713383-0.2660401j)  (0.8370204+0.7367936j)  (0.55681264+0.71961087j)  (0.5315779-0.05751189j)  (1.1399595+0.32009175j)  (-0.2838296+1.3731599j)  (-0.25389856-0.27640784j)  (0.32922202-0.9820183j)
 (-0.017152878-0.112138435j)  (-0.25261828+1.0901097j)  (-0.62132025-0.061589543j)  (0.5476246-1.1307743j)  (-0.13531548+0.75700265j)  (2.4449863-0.30166727j)  (0.342014+0.58726865j)  (-1.4047587+0.072456814j)  (0.9453813+0.8145928j)  (-0.14899173-0.18053187j)  (-1.0099691-0.49869907j)  (-1.4322631-0.4457839j)  (-1.5189073-0.33299503j)  (0.76225364+0.5279278j)  (-1.5859934-0.11962007j)  (0.4591014+0.46257144j)  (0.23050418-0.79441684j)  (1.2310961+0.6725386j)  (0.83516324+0.8843269j)  (-0.80180347-0.35109907j)  (1.2251878-0.68337995j)  (0.19808437+0.48743382j)  (1.1005086-0.6537654j)  (-1.4440068+0.012069444j)  (-0.011959681-0.29587248j)  (0.5834257-0.4477368j)  (0.80191267-1.0810518j)  (-0.1437417-1.3262044j)  (1.5261838-0.3004876j)  (-1.8338071-0.9293453j)  (-0.52878064-1.5789534j)  (-0.5210329+0.30002588j)  (-0.03181086-0.87804765j)  (-0.018370476+0.46582118j)  (-1.467715+0.6383887j)  (-0.5840984+0.18132164j)  (-0.7353815-0.10372378j)  (0.6940779-0.8061189j)  (-0.97384757+0.0034429869j)  (-0.34162232-0.6418236j)  (0.68783474-1.1106111j)  (-0.9991814+0.4528237j)  (-0.7716058+0.6075337j)  (1.4587238-1.4396973j)  (-0.1349142+0.6039722j)  (0.9965206-0.058186848j)  (-0.27344075+0.8835471j)  (-0.2901971-0.014201873j)  (0.5062338-0.022099202j)  (-0.15515952-0.7241293j)  (1.3418602+0.084355876j)  (-0.13813755-0.98908913j)  (0.7288476-0.09042136j)  (-2.0152464-0.48553288j)  (-0.43051493+1.3553977j)  (-0.99062693+0.24952753j)  (-0.3788021+0.15319416j)  (-0.038150895+1.1179098j)  (-0.10244163-0.46828035j)  (0.70541805+0.20930655j)  (0.18581507+0.853234j)  (1.3404638+0.2687057j)  (-0.21555261+1.0463917j)  (-0.9000258+1.0056452j)
